policy_id,customer_id,status,product_type,monthly_premium,start_date
POL10435,CUST0281,cancelled,Term Life,361.71,2023-11-16
POL10436,CUST0287,Active,Whole Life,302.56,2020-10-13
POL10437,CUST0064,active,Critical Illness,65.42,2022-06-03
POL10438,CUST0194,active,WHOLE LIFE,440.49,2022-06-13
POL10439,CUST0199,Cancelled,Disability,641.3,2020-12-07
POL10440,CUST0300,ACTIVE,Whole Life,,2024-08-13
POL10441,CUST0084,cancelled,Critical Illness,690.39,2023-11-01
POL10442,CUST0199,Lapsed,term life,414.45,2024-04-27
POL10443,CUST0299,active,Disability,361.04,2020-07-04
POL10444,CUST0251,active,WHOLE LIFE,631.63,2023-03-23
POL10445,CUST0024,ACTIVE,Term Life,246.39,2021-05-13
POL10446,CUST0110,Lapsed,term life,185.57,2022-04-27
POL10447,CUST0272,Lapsed,Disability,227.37,2024-03-22
POL10448,CUST0053,cancelled,Critical Illness,161.72,2023-12-01
POL10449,CUST0181,Cancelled,Whole Life,309.76,2020-11-06
POL10450,CUST0229,,Critical Illness,119.12,2024-05-24
POL10451,CUST0080,active,Whole Life,637.44,2021-12-05
POL10452,CUST0062,active,Whole Life,768.5,2025-03-07
POL10453,CUST0189,cancelled,Critical Illness,810.33,2024-01-11
POL10454,CUST0149,Cancelled,WHOLE LIFE,129.45,2022-01-03
POL10455,CUST0011,active,term life,580.89,2021-08-09
POL10456,CUST0130,Cancelled,Whole Life,101.36,2020-02-29
POL10457,CUST0146,,Critical Illness,163.26,2022-03-09
POL10458,CUST0082,,term life,533.61,2023-01-18
POL10459,CUST0084,Cancelled,WHOLE LIFE,517.28,2023-07-31
POL10460,CUST0134,ACTIVE,Term Life,671.76,2023-08-27
POL10461,CUST0278,active,Disability,340.09,2024-02-02
POL10462,CUST0111,cancelled,term life,628.57,2024-12-18
POL10463,CUST0119,Active,term life,801.8,2023-09-07
POL10464,CUST0037,ACTIVE,Term Life,498.0,2020-09-02
POL10465,CUST0100,ACTIVE,Critical Illness,154.08,2025-04-27
POL10466,CUST0035,active,Term Life,155.81,2025-01-21
POL10467,CUST0267,Cancelled,Term Life,590.36,2020-06-25
POL10468,CUST0270,cancelled,Critical Illness,789.48,2024-12-06
POL10469,CUST0053,Lapsed,Whole Life,103.74,2022-09-24
POL10470,CUST0016,Cancelled,term life,768.51,2021-06-08
POL10471,CUST0172,active,WHOLE LIFE,162.42,2023-01-13
POL10472,CUST0080,,Disability,56.35,2022-09-29
POL10473,CUST0293,Cancelled,term life,177.31,2024-04-24
POL10474,CUST0266,active,Term Life,281.31,2021-09-08
POL10475,CUST0013,Lapsed,Term Life,190.97,2023-05-23
POL10476,CUST0267,,term life,583.39,2020-06-19
POL10477,CUST0001,ACTIVE,Term Life,215.11,2022-03-20
POL10478,CUST0119,Lapsed,Critical Illness,320.86,2020-01-31
POL10479,CUST0124,ACTIVE,Term Life,466.15,2021-11-17
POL10480,CUST0267,cancelled,Critical Illness,229.85,2024-12-11
POL10481,CUST0213,active,Whole Life,245.27,2022-09-07
POL10482,CUST0114,,Critical Illness,589.26,2023-06-03
POL10483,CUST0134,Cancelled,term life,504.44,2020-02-15
POL10484,CUST0095,ACTIVE,Whole Life,452.87,2024-02-23
POL10485,CUST0105,cancelled,Term Life,477.47,2020-06-09
POL10486,CUST0258,active,Disability,375.63,2020-10-09
POL10487,CUST0190,cancelled,Critical Illness,99.26,2024-09-06
POL10488,CUST0199,active,Disability,673.67,2021-11-23
POL10489,CUST0106,Lapsed,Critical Illness,804.59,2020-05-19
POL10490,CUST0244,,Term Life,66.65,2025-05-08
POL10491,CUST0034,Lapsed,Whole Life,206.52,2024-12-03
POL10492,CUST0253,active,Critical Illness,793.89,2020-10-17
POL10493,CUST0164,Active,Whole Life,608.33,2021-04-30
POL10494,CUST0233,ACTIVE,Critical Illness,788.25,2020-10-26
POL10495,CUST0037,active,WHOLE LIFE,79.89,2021-09-20
POL10496,CUST0165,active,term life,466.79,2023-01-11
POL10497,CUST0291,Lapsed,term life,114.63,2023-08-31
POL10498,CUST0115,Active,Term Life,830.18,2025-03-28
POL10499,CUST0258,active,Whole Life,556.94,2020-08-02
